# Parameters for absolutely stable SQM
# Stellar matter stability window, ms0 = 100 MeV
# C        sqrt(D) [MeV]

-0.850000  205.750000
-0.835000  204.250000
-0.820000  202.000000
-0.820000  202.750000
-0.820000  203.500000
-0.805000  200.500000
-0.805000  201.250000
-0.805000  202.000000
-0.805000  202.750000
-0.790000  198.250000
-0.790000  199.000000
-0.790000  199.750000
-0.790000  200.500000
-0.790000  201.250000
-0.790000  202.000000
-0.775000  196.750000
-0.775000  197.500000
-0.775000  198.250000
-0.775000  199.000000
-0.775000  199.750000
-0.775000  200.500000
-0.760000  194.500000
-0.760000  195.250000
-0.760000  196.000000
-0.760000  196.750000
-0.760000  197.500000
-0.760000  198.250000
-0.760000  199.000000
-0.760000  199.750000
-0.745000  192.250000
-0.745000  193.000000
-0.745000  193.750000
-0.745000  194.500000
-0.745000  195.250000
-0.745000  196.000000
-0.745000  196.750000
-0.745000  197.500000
-0.745000  198.250000
-0.745000  199.000000
-0.730000  190.750000
-0.730000  191.500000
-0.730000  192.250000
-0.730000  193.000000
-0.730000  193.750000
-0.730000  194.500000
-0.730000  195.250000
-0.730000  196.000000
-0.730000  196.750000
-0.730000  197.500000
-0.730000  198.250000
-0.715000  188.500000
-0.715000  189.250000
-0.715000  190.000000
-0.715000  190.750000
-0.715000  191.500000
-0.715000  192.250000
-0.715000  193.000000
-0.715000  193.750000
-0.715000  194.500000
-0.715000  195.250000
-0.715000  196.000000
-0.715000  196.750000
-0.715000  197.500000
-0.700000  187.000000
-0.700000  187.750000
-0.700000  188.500000
-0.700000  189.250000
-0.700000  190.000000
-0.700000  190.750000
-0.700000  191.500000
-0.700000  192.250000
-0.700000  193.000000
-0.700000  193.750000
-0.700000  194.500000
-0.700000  195.250000
-0.700000  196.000000
-0.685000  186.250000
-0.685000  187.000000
-0.685000  187.750000
-0.685000  188.500000
-0.685000  189.250000
-0.685000  190.000000
-0.685000  190.750000
-0.685000  191.500000
-0.685000  192.250000
-0.685000  193.000000
-0.685000  193.750000
-0.685000  194.500000
-0.685000  195.250000
-0.670000  185.500000
-0.670000  186.250000
-0.670000  187.000000
-0.670000  187.750000
-0.670000  188.500000
-0.670000  189.250000
-0.670000  190.000000
