# Parameters for absolutely stable SQM
# Symmetric matter stability window, ms0 = 100 MeV
# C        sqrt(D) [MeV]

-0.600000  185.500000
-0.590000  185.000000
-0.580000  184.500000
-0.570000  184.000000
-0.560000  183.500000
-0.550000  183.000000
-0.540000  182.500000
-0.540000  183.000000
-0.530000  182.000000
-0.530000  182.500000
-0.520000  181.500000
-0.520000  182.000000
-0.510000  181.000000
-0.510000  181.500000
-0.500000  180.500000
-0.500000  181.000000
-0.490000  180.000000
-0.490000  180.500000
-0.480000  179.500000
-0.480000  180.000000
-0.470000  179.000000
-0.470000  179.500000
-0.470000  180.000000
-0.460000  178.500000
-0.460000  179.000000
-0.460000  179.500000
-0.450000  178.000000
-0.450000  178.500000
-0.450000  179.000000
-0.440000  177.500000
-0.440000  178.000000
-0.440000  178.500000
-0.430000  177.000000
-0.430000  177.500000
-0.430000  178.000000
-0.420000  176.500000
-0.420000  177.000000
-0.420000  177.500000
-0.410000  176.000000
-0.410000  176.500000
-0.410000  177.000000
-0.400000  175.500000
-0.400000  176.000000
-0.400000  176.500000
-0.400000  177.000000
-0.390000  175.000000
-0.390000  175.500000
-0.390000  176.000000
-0.390000  176.500000
-0.380000  175.000000
-0.380000  175.500000
-0.380000  176.000000
-0.370000  174.500000
-0.370000  175.000000
-0.370000  175.500000
-0.360000  174.000000
-0.360000  174.500000
-0.360000  175.000000
-0.350000  173.500000
-0.350000  174.000000
-0.350000  174.500000
-0.340000  173.000000
-0.340000  173.500000
-0.340000  174.000000
-0.330000  172.500000
-0.330000  173.000000
-0.330000  173.500000
-0.320000  172.000000
-0.320000  172.500000
-0.320000  173.000000
-0.310000  171.500000
-0.310000  172.000000
-0.310000  172.500000
-0.310000  173.000000
-0.300000  171.000000
-0.300000  171.500000
-0.300000  172.000000
-0.300000  172.500000
-0.290000  170.500000
-0.290000  171.000000
-0.290000  171.500000
-0.290000  172.000000
-0.280000  170.000000
-0.280000  170.500000
-0.280000  171.000000
-0.280000  171.500000
-0.270000  169.500000
-0.270000  170.000000
-0.270000  170.500000
-0.270000  171.000000
-0.260000  169.000000
-0.260000  169.500000
-0.260000  170.000000
-0.260000  170.500000
-0.250000  168.500000
-0.250000  169.000000
-0.250000  169.500000
-0.250000  170.000000
-0.240000  168.000000
-0.240000  168.500000
-0.240000  169.000000
-0.240000  169.500000
-0.230000  167.500000
-0.230000  168.000000
-0.230000  168.500000
-0.230000  169.000000
-0.220000  167.500000
-0.220000  168.000000
-0.220000  168.500000
-0.210000  167.000000
-0.210000  167.500000
-0.210000  168.000000
-0.210000  168.500000
-0.200000  166.500000
-0.200000  167.000000
-0.200000  167.500000
-0.200000  168.000000
-0.190000  166.000000
-0.190000  166.500000
-0.190000  167.000000
-0.190000  167.500000
-0.180000  165.500000
-0.180000  166.000000
-0.180000  166.500000
-0.180000  167.000000
-0.170000  165.000000
-0.170000  165.500000
-0.170000  166.000000
-0.170000  166.500000
-0.160000  164.500000
-0.160000  165.000000
-0.160000  165.500000
-0.160000  166.000000
-0.150000  164.000000
-0.150000  164.500000
-0.150000  165.000000
-0.150000  165.500000
-0.140000  163.500000
-0.140000  164.000000
-0.140000  164.500000
-0.140000  165.000000
-0.130000  163.000000
-0.130000  163.500000
-0.130000  164.000000
-0.130000  164.500000
-0.120000  163.000000
-0.120000  163.500000
-0.120000  164.000000
-0.110000  162.500000
-0.110000  163.000000
-0.110000  163.500000
-0.100000  162.000000
-0.100000  162.500000
-0.100000  163.000000
-0.090000  161.500000
-0.090000  162.000000
-0.090000  162.500000
-0.080000  161.000000
-0.080000  161.500000
-0.080000  162.000000
-0.070000  160.500000
-0.070000  161.000000
-0.070000  161.500000
-0.060000  160.000000
-0.060000  160.500000
-0.060000  161.000000
-0.050000  159.500000
-0.050000  160.000000
-0.050000  160.500000
-0.050000  161.000000
-0.040000  159.000000
-0.040000  159.500000
-0.040000  160.000000
-0.040000  160.500000
-0.030000  159.000000
-0.030000  159.500000
-0.030000  160.000000
-0.020000  158.500000
-0.020000  159.000000
-0.020000  159.500000
-0.010000  158.000000
-0.010000  158.500000
-0.010000  159.000000
0.000000  157.500000
0.000000  158.000000
0.000000  158.500000
0.010000  157.000000
0.010000  157.500000
0.010000  158.000000
0.020000  156.500000
0.020000  157.000000
0.020000  157.500000
0.030000  156.000000
0.030000  156.500000
0.030000  157.000000
0.040000  156.000000
0.040000  156.500000
0.050000  155.500000
0.050000  156.000000
0.060000  155.000000
0.060000  155.500000
0.070000  154.500000
0.070000  155.000000
0.080000  154.000000
0.080000  154.500000
0.090000  153.500000
0.090000  154.000000
0.100000  153.000000
0.100000  153.500000
0.110000  153.000000
0.120000  152.500000
0.130000  152.000000
0.140000  151.500000
0.150000  151.000000
0.160000  150.500000
